RetainedRef	DuplicateRef
ENST00000632660.1	ENST00000610835.1
ENST00000642787.1	ENST00000486574.5
ENST00000633070.1	ENST00000572044.1
ENST00000646795.1	ENST00000382209.2
ENST00000710087.1	ENST00000696123.1
ENST00000709169.1	ENST00000423932.6
ENST00000711279.1	ENST00000475594.6
ENST00000634036.1	ENST00000620210.1
ENST00000709190.1	ENST00000652232.1
ENST00000620369.1	ENST00000622365.2
ENST00000620369.1	ENST00000617052.1
ENST00000620369.1	ENST00000620961.1
ENST00000620369.1	ENST00000614599.1
ENST00000620369.1	ENST00000620905.1
ENST00000620369.1	ENST00000619877.2
ENST00000709144.1	ENST00000480870.2
ENST00000627947.1	ENST00000555324.1
ENST00000708959.1	ENST00000548931.6
ENST00000633231.1	ENST00000563940.1
ENST00000635653.1	ENST00000595443.5
ENST00000631868.1	ENST00000539279.5
ENST00000370083.9	ENST00000330330.10
ENST00000370083.9	ENST00000622339.5
ENST00000434496.2	ENST00000437432.2
ENST00000434496.2	ENST00000423382.2
ENST00000434496.2	ENST00000229725.4
ENST00000434496.2	ENST00000422978.2
ENST00000671894.1	ENST00000328113.3
ENST00000625213.2	ENST00000618229.4
ENST00000708731.1	ENST00000383029.7
ENST00000612215.1	ENST00000596835.1
ENST00000479906.5	ENST00000464086.1
ENST00000479906.5	ENST00000489638.5
ENST00000631614.2	ENST00000495489.1
ENST00000630364.1	ENST00000453164.1
ENST00000707124.1	ENST00000297578.9
ENST00000631678.1	ENST00000571059.5
ENST00000586341.5	ENST00000628674.2
ENST00000672212.1	ENST00000158762.8
ENST00000645915.2	ENST00000247225.7
ENST00000640642.1	ENST00000395703.8
ENST00000636267.1	ENST00000419795.6
ENST00000709261.1	ENST00000321392.4
ENST00000710145.1	ENST00000703925.1
ENST00000627257.2	ENST00000436643.5
ENST00000624015.1	ENST00000596452.1
ENST00000630776.1	ENST00000427711.2
ENST00000709246.1	ENST00000530225.5
ENST00000634428.1	ENST00000586932.5
ENST00000478297.5	ENST00000491201.5
ENST00000478297.5	ENST00000472887.5
ENST00000478297.5	ENST00000463945.5
ENST00000478297.5	ENST00000496415.5
ENST00000478297.5	ENST00000491620.5
ENST00000478297.5	ENST00000462304.5
ENST00000709867.1	ENST00000409984.2
ENST00000428498.2	ENST00000419939.2
ENST00000428498.2	ENST00000434915.2
ENST00000428498.2	ENST00000428121.2
ENST00000428498.2	ENST00000448386.2
ENST00000631379.1	ENST00000455737.2
ENST00000621200.4	ENST00000615521.4
ENST00000621200.4	ENST00000622042.4
ENST00000621200.4	ENST00000619454.4
ENST00000621200.4	ENST00000616040.4
ENST00000621200.4	ENST00000611410.4
ENST00000621200.4	ENST00000611679.4
ENST00000633652.1	ENST00000565767.1
ENST00000574434.5	ENST00000506072.5
ENST00000476915.1	ENST00000486768.1
ENST00000476915.1	ENST00000490548.1
ENST00000476915.1	ENST00000463326.1
ENST00000476915.1	ENST00000489089.1
ENST00000476915.1	ENST00000461328.1
ENST00000626126.1	ENST00000483920.1
ENST00000710234.1	ENST00000634736.1
ENST00000492746.1	ENST00000491628.1
ENST00000492746.1	ENST00000472334.1
ENST00000492746.1	ENST00000465704.1
ENST00000492746.1	ENST00000488324.1
ENST00000454142.1	ENST00000433582.1
ENST00000632205.1	ENST00000496168.1
ENST00000562937.5	ENST00000549733.5
ENST00000618333.4	ENST00000445811.5
ENST00000709219.1	ENST00000421246.1
ENST00000644029.1	ENST00000497891.1
ENST00000709307.1	ENST00000566231.5
ENST00000638933.1	ENST00000618023.5
ENST00000638933.1	ENST00000639581.1
ENST00000673274.1	ENST00000650172.1
ENST00000633551.1	ENST00000523847.5
ENST00000643793.1	ENST00000421443.1
ENST00000639032.1	ENST00000370041.4
ENST00000708081.1	ENST00000289228.7
ENST00000617832.2	ENST00000613269.2
ENST00000634524.1	ENST00000445419.6
ENST00000550682.5	ENST00000551081.4
ENST00000550682.5	ENST00000548973.5
ENST00000550682.5	ENST00000551648.5
ENST00000550682.5	ENST00000549972.3
ENST00000636185.2	ENST00000624207.2
ENST00000412044.1	ENST00000430039.1
ENST00000412044.1	ENST00000453205.1
ENST00000610977.3	ENST00000451590.5
ENST00000629260.2	ENST00000596894.5
ENST00000707234.1	ENST00000375579.7
ENST00000489382.5	ENST00000478826.5
ENST00000489382.5	ENST00000496018.5
ENST00000489382.5	ENST00000482057.5
ENST00000489382.5	ENST00000461732.5
ENST00000489382.5	ENST00000495010.5
ENST00000610513.2	ENST00000614941.4
ENST00000468188.1	ENST00000478114.1
ENST00000468188.1	ENST00000490255.1
ENST00000708384.1	ENST00000239449.7
ENST00000643540.1	ENST00000450202.2
ENST00000710051.1	ENST00000635285.1
ENST00000632910.1	ENST00000468494.1
ENST00000709030.1	ENST00000595207.5
ENST00000633996.1	ENST00000498069.5
ENST00000632636.1	ENST00000525583.5
ENST00000414423.9	ENST00000678917.1
ENST00000710387.1	ENST00000644628.2
ENST00000640645.1	ENST00000579773.5
ENST00000639536.2	ENST00000639814.3
ENST00000639536.2	ENST00000640693.2
ENST00000639536.2	ENST00000639792.3
ENST00000639536.2	ENST00000639506.2
ENST00000639536.2	ENST00000640937.3
ENST00000639536.2	ENST00000639400.2
ENST00000639536.2	ENST00000640118.3
ENST00000707599.1	ENST00000383008.1
ENST00000634195.1	ENST00000576502.5
ENST00000672828.1	ENST00000587508.1
ENST00000708784.1	ENST00000556439.1
ENST00000463036.5	ENST00000493221.5
ENST00000463036.5	ENST00000471034.5
ENST00000463036.5	ENST00000497132.5
ENST00000463036.5	ENST00000478154.5
ENST00000463036.5	ENST00000492539.5
ENST00000671961.1	ENST00000673213.1
ENST00000671961.1	ENST00000672210.1
ENST00000671961.1	ENST00000672260.1
ENST00000646252.2	ENST00000528838.6
ENST00000430502.5	ENST00000449318.5
ENST00000430502.5	ENST00000446397.5
ENST00000430502.5	ENST00000443109.5
ENST00000430502.5	ENST00000396548.5
ENST00000616067.4	ENST00000514857.2
ENST00000633811.1	ENST00000552553.5
ENST00000633840.1	ENST00000545078.1
ENST00000710116.1	ENST00000593475.6
ENST00000672469.1	ENST00000534148.1
ENST00000631101.1	ENST00000555558.1
ENST00000709135.1	ENST00000529584.5
ENST00000427735.5	ENST00000441395.5
ENST00000633562.1	ENST00000524281.1
ENST00000632878.1	ENST00000570292.1
ENST00000678123.1	ENST00000678578.1
ENST00000710091.1	ENST00000472645.1
ENST00000642848.1	ENST00000558795.1
ENST00000423654.5	ENST00000418248.5
ENST00000423654.5	ENST00000376483.8
ENST00000710466.1	ENST00000675121.1
ENST00000437918.5	ENST00000455669.5
ENST00000639980.2	ENST00000376974.5
ENST00000634060.1	ENST00000469114.1
ENST00000709690.1	ENST00000615272.1
ENST00000709176.1	ENST00000380370.1
ENST00000468432.1	ENST00000629428.1
ENST00000642694.1	ENST00000560787.5
ENST00000639336.1	ENST00000453883.1
ENST00000672447.1	ENST00000544702.5
ENST00000634858.1	ENST00000529625.5
ENST00000644988.1	ENST00000535774.1
ENST00000627703.2	ENST00000528230.5
ENST00000630466.1	ENST00000474278.2
ENST00000627349.1	ENST00000465281.1
ENST00000639025.1	ENST00000521675.1
ENST00000710194.1	ENST00000703995.1
ENST00000647220.1	ENST00000457199.6
ENST00000633894.1	ENST00000619482.1
ENST00000413367.1	ENST00000443307.1
ENST00000413367.1	ENST00000444785.1
ENST00000709305.1	ENST00000566918.5
ENST00000671713.1	ENST00000261918.9
ENST00000646807.1	ENST00000529630.1
ENST00000360204.5	ENST00000615930.1
ENST00000590998.5	ENST00000632777.1
ENST00000711274.1	ENST00000496011.6
ENST00000612201.1	ENST00000612882.1
ENST00000614060.4	ENST00000535621.6
ENST00000640356.1	ENST00000577691.5
ENST00000673041.1	ENST00000486931.1
ENST00000632584.1	ENST00000360594.9
ENST00000456093.5	ENST00000425523.5
ENST00000456093.5	ENST00000396558.5
ENST00000456093.5	ENST00000453195.5
ENST00000707882.1	ENST00000496121.5
ENST00000708028.1	ENST00000457656.1
ENST00000626597.2	ENST00000371929.7
ENST00000646983.2	ENST00000355602.3
ENST00000437087.1	ENST00000454847.1
ENST00000437087.1	ENST00000422507.1
ENST00000633820.1	ENST00000575116.1
ENST00000298571.6	ENST00000627461.1
ENST00000467431.5	ENST00000494751.5
ENST00000708877.1	ENST00000651085.1
ENST00000642182.1	ENST00000554661.5
ENST00000640740.1	ENST00000582122.1
ENST00000711531.1	ENST00000354098.7
ENST00000456772.2	ENST00000383390.4
ENST00000612646.2	ENST00000369768.1
ENST00000633368.1	ENST00000617798.1
ENST00000647066.1	ENST00000537923.5
ENST00000619969.1	ENST00000618347.1
ENST00000639296.1	ENST00000643879.1
ENST00000639296.1	ENST00000640938.2
ENST00000639296.1	ENST00000643590.1
ENST00000599859.2	ENST00000618429.1
ENST00000632996.1	ENST00000390418.1
ENST00000707634.1	ENST00000272425.4
ENST00000673572.1	ENST00000381563.8
ENST00000709686.1	ENST00000512705.1
ENST00000631793.1	ENST00000573245.1
ENST00000632516.1	ENST00000521003.5
ENST00000621065.4	ENST00000619913.4
ENST00000436434.5	ENST00000441994.5
ENST00000436434.5	ENST00000452627.5
ENST00000436434.5	ENST00000436807.5
ENST00000436434.5	ENST00000420942.5
ENST00000436434.5	ENST00000458287.5
ENST00000436434.5	ENST00000424480.5
ENST00000631965.1	ENST00000612652.1
ENST00000711285.1	ENST00000464205.6
ENST00000647222.1	ENST00000326009.9
ENST00000709394.1	ENST00000692423.1
ENST00000708285.1	ENST00000378133.4
ENST00000619727.1	ENST00000621055.1
ENST00000619727.1	ENST00000618288.1
ENST00000619727.1	ENST00000614982.1
ENST00000619727.1	ENST00000622613.1
ENST00000619727.1	ENST00000616760.1
ENST00000476101.1	ENST00000474491.1
ENST00000476101.1	ENST00000498207.1
ENST00000710004.1	ENST00000439251.3
ENST00000633413.1	ENST00000525185.5
ENST00000497416.1	ENST00000471617.1
ENST00000644291.1	ENST00000562477.1
ENST00000646210.1	ENST00000559409.5
ENST00000443440.6	ENST00000434660.6
ENST00000443440.6	ENST00000383541.8
ENST00000443440.6	ENST00000377016.8
ENST00000611344.4	ENST00000391758.5
ENST00000629210.2	ENST00000601697.5
ENST00000709318.1	ENST00000565914.5
ENST00000634234.2	ENST00000571723.2
ENST00000636636.1	ENST00000636368.1
ENST00000636636.1	ENST00000364275.1
ENST00000632797.1	ENST00000572723.1
ENST00000441058.2	ENST00000448042.2
ENST00000639413.1	ENST00000502984.5
ENST00000633854.1	ENST00000619462.4
ENST00000711160.1	ENST00000381192.10
ENST00000416097.2	ENST00000418540.2
ENST00000480383.5	ENST00000493809.5
ENST00000709590.1	ENST00000007735.4
ENST00000644558.1	ENST00000540728.6
ENST00000673153.1	ENST00000395081.7
ENST00000481723.5	ENST00000479622.5
ENST00000448562.1	ENST00000710024.1
ENST00000622021.4	ENST00000542434.5
ENST00000649533.1	ENST00000650048.1
ENST00000497174.5	ENST00000488461.5
ENST00000497174.5	ENST00000468514.5
ENST00000497174.5	ENST00000463957.5
ENST00000709522.1	ENST00000699938.1
ENST00000645171.1	ENST00000529946.1
ENST00000707883.1	ENST00000470450.5
ENST00000631447.1	ENST00000431008.7
ENST00000709657.1	ENST00000447357.1
ENST00000631595.1	ENST00000575636.5
ENST00000643588.1	ENST00000543381.5
ENST00000494835.1	ENST00000462954.1
ENST00000619108.4	ENST00000487134.5
ENST00000603389.1	ENST00000672344.1
ENST00000420405.5	ENST00000452730.5
ENST00000707636.1	ENST00000463231.5
ENST00000631739.1	ENST00000573553.5
ENST00000633657.1	ENST00000561813.5
ENST00000708123.1	ENST00000631206.2
ENST00000632848.1	ENST00000458732.1
ENST00000643781.1	ENST00000527055.1
ENST00000638731.3	ENST00000640447.3
ENST00000638731.3	ENST00000639597.3
ENST00000638731.3	ENST00000639039.3
ENST00000638731.3	ENST00000640727.3
ENST00000638731.3	ENST00000638887.3
ENST00000638731.3	ENST00000638496.3
ENST00000638731.3	ENST00000638916.3
ENST00000672078.1	ENST00000227157.8
ENST00000629025.2	ENST00000529454.5
ENST00000647295.1	ENST00000646801.1
ENST00000647550.1	ENST00000531727.5
ENST00000420299.6	ENST00000452703.6
ENST00000420299.6	ENST00000451753.6
ENST00000420299.6	ENST00000435503.6
ENST00000420299.6	ENST00000457285.6
ENST00000420299.6	ENST00000383228.8
ENST00000644940.1	ENST00000543002.5
ENST00000707974.1	ENST00000573039.1
ENST00000710206.1	ENST00000703906.1
ENST00000708822.1	ENST00000429687.8
ENST00000453842.1	ENST00000422512.1
ENST00000441854.6	ENST00000456261.6
ENST00000441854.6	ENST00000418477.6
ENST00000441854.6	ENST00000383213.8
ENST00000441854.6	ENST00000431735.6
ENST00000710591.1	ENST00000557812.1
ENST00000383062.8	ENST00000436311.6
ENST00000626600.2	ENST00000325935.10
ENST00000443153.5	ENST00000447852.3
ENST00000443153.5	ENST00000453534.5
ENST00000443153.5	ENST00000449857.3
ENST00000628626.2	ENST00000476336.5
ENST00000614727.4	ENST00000613378.1
ENST00000647514.1	ENST00000396813.5
ENST00000626180.1	ENST00000629720.1
ENST00000626180.1	ENST00000573667.1
ENST00000622855.1	ENST00000610368.1
ENST00000707843.1	ENST00000493196.2
ENST00000464220.1	ENST00000476022.1
ENST00000617825.1	ENST00000612783.1
ENST00000617825.1	ENST00000621436.1
ENST00000629790.2	ENST00000630176.2
ENST00000672946.1	ENST00000335678.7
ENST00000709824.1	ENST00000439029.5
ENST00000626472.2	ENST00000390559.6
ENST00000572799.1	ENST00000709595.1
ENST00000572799.1	ENST00000393988.2
ENST00000635468.1	ENST00000592658.1
ENST00000639632.2	ENST00000292586.11
ENST00000633668.1	ENST00000526970.5
ENST00000709596.1	ENST00000225550.4
ENST00000491941.5	ENST00000630088.2
ENST00000709404.1	ENST00000493775.1
ENST00000617355.4	ENST00000621193.4
ENST00000627034.2	ENST00000430012.6
ENST00000581164.2	ENST00000581138.4
ENST00000646201.1	ENST00000557854.5
ENST00000709917.1	ENST00000514152.5
ENST00000711194.1	ENST00000462195.6
ENST00000611293.4	ENST00000612105.4
ENST00000611293.4	ENST00000610794.4
ENST00000611293.4	ENST00000612436.4
ENST00000611293.4	ENST00000610629.4
ENST00000611293.4	ENST00000617281.4
ENST00000611293.4	ENST00000617862.4
ENST00000611293.4	ENST00000610804.4
ENST00000611293.4	ENST00000620474.4
ENST00000621059.4	ENST00000621652.4
ENST00000707278.1	ENST00000684757.1
ENST00000459675.1	ENST00000493573.1
ENST00000459675.1	ENST00000487089.1
ENST00000456287.5	ENST00000633861.1
ENST00000711184.1	ENST00000399012.6
ENST00000467619.1	ENST00000466356.1
ENST00000467619.1	ENST00000487749.1
ENST00000467619.1	ENST00000491185.1
ENST00000467619.1	ENST00000487248.1
ENST00000467619.1	ENST00000472275.1
ENST00000467619.1	ENST00000461632.1
ENST00000467619.1	ENST00000460841.1
ENST00000438076.5	ENST00000440117.5
ENST00000438076.5	ENST00000458607.5
ENST00000438076.5	ENST00000452705.5
ENST00000707791.1	ENST00000647795.1
ENST00000644042.1	ENST00000641210.1
ENST00000489811.5	ENST00000496449.5
ENST00000709533.1	ENST00000610076.1
ENST00000416785.1	ENST00000502477.1
ENST00000707770.1	ENST00000573474.5
ENST00000647062.1	ENST00000402845.7
ENST00000621545.2	ENST00000396324.7
ENST00000632257.1	ENST00000240189.2
ENST00000707782.1	ENST00000574376.1
ENST00000709670.1	ENST00000317668.8
ENST00000615642.4	ENST00000611009.4
ENST00000615642.4	ENST00000543210.6
ENST00000631828.1	ENST00000531540.5
ENST00000645916.1	ENST00000559042.1
ENST00000633772.1	ENST00000616019.1
ENST00000444252.5	ENST00000434776.5
ENST00000444252.5	ENST00000436892.5
ENST00000444252.5	ENST00000411883.5
ENST00000444252.5	ENST00000446443.5
ENST00000444252.5	ENST00000430286.5
ENST00000444252.5	ENST00000444096.5
ENST00000430933.5	ENST00000400492.5
ENST00000475526.5	ENST00000474960.5
ENST00000475526.5	ENST00000482981.5
ENST00000710260.1	ENST00000634939.1
ENST00000455486.4	ENST00000554450.1
ENST00000642775.1	ENST00000517594.1
ENST00000432046.1	ENST00000446387.1
ENST00000612701.4	ENST00000620456.4
ENST00000709288.1	ENST00000248114.7
ENST00000633775.1	ENST00000395108.2
ENST00000415776.1	ENST00000425411.1
ENST00000638761.1	ENST00000640267.1
ENST00000707875.1	ENST00000450472.1
ENST00000631236.1	ENST00000555056.1
ENST00000622772.1	ENST00000610921.1
ENST00000481474.5	ENST00000459807.5
ENST00000672473.1	ENST00000536092.1
ENST00000673277.1	ENST00000574255.6
ENST00000490704.5	ENST00000494807.5
ENST00000490704.5	ENST00000481011.5
ENST00000490704.5	ENST00000470552.5
ENST00000490704.5	ENST00000494550.5
ENST00000711138.1	ENST00000498153.7
ENST00000639948.1	ENST00000646287.1
ENST00000486475.6	ENST00000629881.2
ENST00000709386.1	ENST00000397150.5
ENST00000487687.1	ENST00000481420.1
ENST00000487687.1	ENST00000490227.1
ENST00000487687.1	ENST00000497332.1
ENST00000487687.1	ENST00000481380.1
ENST00000487687.1	ENST00000488456.1
ENST00000487687.1	ENST00000486264.1
ENST00000487687.1	ENST00000487166.1
ENST00000642147.1	ENST00000419198.6
ENST00000520002.5	ENST00000602557.5
ENST00000452530.6	ENST00000448939.6
ENST00000452530.6	ENST00000383587.8
ENST00000452530.6	ENST00000420257.6
ENST00000710455.1	ENST00000527078.6
ENST00000466236.5	ENST00000471869.5
ENST00000466236.5	ENST00000493167.5
ENST00000466236.5	ENST00000494009.5
ENST00000426498.5	ENST00000399937.5
ENST00000426498.5	ENST00000439989.5
ENST00000426498.5	ENST00000446967.5
ENST00000467935.1	ENST00000628536.1
ENST00000640325.1	ENST00000498408.1
ENST00000573844.5	ENST00000368670.5
ENST00000709004.1	ENST00000525853.1
ENST00000708845.1	ENST00000641525.1
ENST00000543480.3	ENST00000613368.2
